Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,42280.234375,45899.707031,40813.535156,43943.097656,43943.097656,202311773985
2024-01-08,43948.707031,48969.371094,41724.613281,41796.269531,41796.269531,259971819745
2024-01-15,41715.066406,43566.273438,40297.457031,41545.785156,41545.785156,139135824835
2024-01-22,41553.652344,42797.175781,38521.894531,42035.593750,42035.593750,155314602893
2024-01-29,42030.914063,43838.945313,41818.332031,42583.582031,42583.582031,135184187433
2024-02-05,42577.621094,48535.937500,42264.816406,48293.917969,48293.917969,157826395448
2024-02-12,48296.386719,52820.066406,47745.761719,52122.546875,52122.546875,213560041471
2024-02-19,52134.812500,52945.050781,50561.777344,51733.238281,51733.238281,160769145627
2024-02-26,51730.539063,63913.132813,50931.031250,63167.371094,63167.371094,322895666089
2024-03-04,63137.003906,70083.054688,59323.910156,69019.789063,69019.789063,405709693297
2024-03-11,69020.546875,73750.070313,64545.316406,68390.625000,68390.625000,405957750577
2024-03-18,68371.304688,68897.132813,60807.785156,67234.171875,67234.171875,328097121682
2024-03-25,67234.093750,71727.687500,66414.835938,71333.648438,71333.648438,216324625836
2024-04-01,71333.484375,71342.093750,64559.898438,69362.554688,69362.554688,229427260104
2024-04-08,69362.554688,72715.359375,60919.105469,65738.726563,65738.726563,288243675431
2024-04-15,65739.648438,66878.648438,59651.390625,64926.644531,64926.644531,257889555865
2024-04-22,64935.632813,67233.960938,62424.718750,63113.230469,63113.230469,176031088174
2024-04-29,63106.363281,64703.332031,56555.292969,64031.132813,64031.132813,217717011805
2024-05-06,64038.312500,65494.902344,60208.781250,61448.394531,61448.394531,161617857129
2024-05-13,61451.218750,67694.296875,60769.839844,66278.367188,66278.367188,191456349028
2024-05-20,66278.742188,71946.460938,66086.171875,68518.093750,68518.093750,225779718034
2024-05-27,68512.179688,70597.882813,66633.421875,67751.601563,67751.601563,170949409910
2024-06-03,67753.898438,71907.851563,67589.835938,69647.992188,69647.992188,187569500742
2024-06-10,69644.312500,70146.070313,65056.894531,66639.046875,66639.046875,175973271622
2024-06-17,66636.515625,67188.320313,63180.796875,63180.796875,63180.796875,163449015388
2024-06-24,63173.351563,63292.527344,58601.699219,62678.292969,62678.292969,171030093873
2024-07-01,62673.605469,63777.226563,53717.375000,55849.109375,55849.109375,213107531443
2024-07-08,55849.574219,59359.433594,54321.019531,57344.914063,57344.914063,122498736874
2024-07-12,57341.195313,58296.714844,56612.894531,58285.714844,58285.714844,24913758208
